,#EXT########### INDONESIA #########
RCTI,http://chostv.mobie.in/files/iptv/rcti.m3u8
MNC TV,https://vcdn2.rctiplus.id/live/eds/mnctv_fta/live_fta/mnctv_fta-avc1_2000000=1-mp4a_64000_eng=2.m3u8
ANTV HD,http://103.130.186.138:8800/oxygenplay/antv/index.m3u8
SCTV HD,http://103.130.186.138:8800/oxygenplay/sctv/index.m3u8
INDOSIAR HD,http://103.130.186.138:8800/oxygenplay/indosiar/index.m3u8
NET TV,http://103.130.186.138:8800/oxygenplay/nettv/index.m3u8
GTV,https://vcdn2.rctiplus.id/live/eds/gtv_fta/live_fta/gtv_fta-avc1_2000000=1-mp4a_64000_eng=2.m3u8
TRANS 7,http://103.130.186.138:8800/oxygenplay/trans7/index.m3u8
TV ONE MPEG2,https://mkctv.net/topcermkc/tvone.m3u8
TRANS TV,http://103.130.186.138:8800/oxygenplay/transtv/index.m3u8
RTV,http://103.130.186.138:8800/oxygenplay/rtv/index.m3u8
INEWS,https://vcdn2.rctiplus.id/live/eds/inews_fta/live_fta/inews_fta.m3u8
METRO TV,http://edge.metrotvnews.com:1935/live-edge/smil:metro.smil/chunklist_w727508021_b628000_sleng.m3u8
CNN Indonesia SD,http://live.cnnindonesia.com/livecnn/smil:cnntv.smil/chunklist_w2069650134_b280000_sleng.m3u8
CNN Indonesia HD,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/chunklist_w1285822120_b384000_sleng.m3u8
CNBC Indonesia,https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/chunklist_w1352897452_b280000_sleng.m3u8
TVRI,http://118.97.50.107:80/Content/HLS/Live/Channel(TVRINASIONAL)/Stream(04)/index.m3u8
JTV SURABAYA,http://122.248.43.138:1935/ch2/myStream/playlist.m3u8
KOMPAS TV,http://103.130.186.138:8800/oxygenplay/kompastv/index.m3u8
BERITA SATU,http://edge.linknetott.swiftserve.com/live/BsNew/amlst:bsnew/playlist.m3u8
USee Photo,https://cdnjt25.useetv.com/joss/15/useephoto/chunklist_b1344100_sleng_.m3u8
USee Prime,https://cdnjt25.useetv.com/joss/15/useeprime/chunklist_b894100_sleng_.m3u8
ID KU,https://cdnjt25.useetv.com/joss/15/idku/chunklist_b1344100_sleng_.m3u8
ID KU,#### FEED SPORTS #####
beIN Sports 1,https://vcdnjt.useetv.com/dass/15/bein1/chunklist_w569980004_b684100_sleng_enc=s0kUt6Guh4KDF-wYLykbZg.m3u8
beIN Sports 2,https://vcdnjt.useetv.com/dass/15/bein2/chunklist_w1901250353_b684100_sleng_enc=5cE0loIMo_OWpCpoD6CJEA.m3u8
CHAMPIONS 1,https://cdnmdc1.useetv.com/dass/15/champion1/chunklist_w2141102661_b894100_sleng_57560.m3u8
CHAMPIONS 2,https://vcdnjt.useetv.com/dass/15/champion2/chunklist_w670832473_b894100_sleng_4798.m3u8
USEE SPORTS,https://cdnmdc1.useetv.com/dass/15/useesport/chunklist_w1241634564_b894100_sleng_43197.m3u8
USEE SPORT 2,https://vcdnjt.useetv.com/dass/15/useesports2/chunklist_w1021856449_b1344100_sleng_87965.m3u8
TVRI SPORTS,http://wpc.d1627.nucdn.net/80D1627/o-tvri/Content/HLS/Live/Channel(TVRI4)/Stream(03)/index.m3u8
Fox Sport 1,https://vcdnjt.useetv.com/dass/15/foxsport1/chunklist_w478388508_b894100_sleng_90945.m3u8
Fox Sport 2,https://vcdnjt.useetv.com/dass/15/foxsport2/chunklist_w356031347_b894100_sleng_424675.m3u8
Fox Sport 3,https://vcdnjt.useetv.com/dass/15/foxsport3/chunklist_w1036403467_b684100_sleng_enc=dZVe0sRkRgVGf8sNJE0QRg.m3u8
Premier Football HD 1,https://www.livedoomovies.com/02_PremierHD1_720p/chunklist.m3u8
Premier Football HD 2,https://www.livedoomovies.com/02_PremierHD2_720p/chunklist.m3u8
