,#EXT########### INDONESIA #########
RCTI,http://chostv.mobie.in/files/iptv/rcti.m3u8
MNC TV,https://vcdn2.rctiplus.id/live/eds/mnctv_fta/live_fta/mnctv_fta-avc1_2000000=1-mp4a_64000_eng=2.m3u8
ANTV HD,http://103.130.186.138:8800/oxygenplay/antv/index.m3u8
SCTV HD,http://103.130.186.138:8800/oxygenplay/sctv/index.m3u8
INDOSIAR HD,http://103.130.186.138:8800/oxygenplay/indosiar/index.m3u8
NET TV,http://103.130.186.138:8800/oxygenplay/nettv/index.m3u8
GTV,https://vcdn2.rctiplus.id/live/eds/gtv_fta/live_fta/gtv_fta-avc1_2000000=1-mp4a_64000_eng=2.m3u8
TRANS 7,http://103.130.186.138:8800/oxygenplay/trans7/index.m3u8
TV ONE MPEG2,https://mkctv.net/topcermkc/tvone.m3u8
TRANS TV,http://103.130.186.138:8800/oxygenplay/transtv/index.m3u8
RTV,http://103.130.186.138:8800/oxygenplay/rtv/index.m3u8
INEWS,https://vcdn2.rctiplus.id/live/eds/inews_fta/live_fta/inews_fta.m3u8
METRO TV,http://edge.metrotvnews.com:1935/live-edge/smil:metro.smil/chunklist_w727508021_b628000_sleng.m3u8
